id,customer_order_id,event_id,event_type,line_item_id,deleted_at,created_at,updated_at
91735734,8b6cb1c5-7ada-4625-94a9-249dd0c794e4,907919,Popup::PopupEvent,035db809-52e9-42fe-b311-4f73c0339312,,08:23.0,08:23.0
91735735,8b6cb1c5-7ada-4625-94a9-249dd0c794e4,907919,Popup::PopupEvent,d3549443-7aee-4226-90e4-e27924676dd0,,08:23.0,08:23.0
91736745,db712d41-6589-4490-9ce6-8e9a81639619,906114,Popup::PopupEvent,8bfd846a-e988-4e15-aabd-2c9abb8b7ed2,,56:54.4,56:54.4
91736750,8d008c45-8e38-4b69-aca9-9ec159c51fa9,906114,Popup::PopupEvent,a319a5bd-7510-4ea3-ad7f-23533bbf5c84,,56:54.5,56:54.5
91738631,c723da0a-2ca6-4782-bf3c-0dfbe7dfbd44,908502,Popup::PopupEvent,6dc255c0-ae8a-483f-90b2-fb482b17174b,,44:27.6,44:27.6
91739949,43780cfe-5610-48f1-9692-f69c336e061a,917150,Popup::PopupEvent,ef508387-bb35-4ff2-9ed1-4cee5be49339,,28:26.2,28:26.2
91739951,43780cfe-5610-48f1-9692-f69c336e061a,917150,Popup::PopupEvent,b6d49ac5-12d1-4fec-a8bd-8666102d226a,,28:26.3,28:26.3
91740371,0f5681f7-3dc9-4bd0-adc9-50212dcaf8d4,919412,Popup::PopupEvent,2060f431-c7b9-48ce-91fb-2a51c826025c,,43:42.2,43:42.2
91740502,5c35f506-d250-4a02-8f37-6266d646967c,908502,Popup::PopupEvent,b0f4dc2a-586f-44ef-a36d-7874098eb23a,,48:22.2,48:22.2
91740794,b758a2e8-1fb6-4a32-bb24-e3cd8bfe62c1,908455,Popup::PopupEvent,dccbda37-f01a-4236-a7e7-abdac5d7802b,,57:37.7,57:37.7
91741280,85b8feb7-ae35-4835-9119-e1dd78878d39,919350,Popup::PopupEvent,b7bf805d-a200-4db1-832f-09c40493e112,,05:17.6,05:17.6
91741282,85b8feb7-ae35-4835-9119-e1dd78878d39,919350,Popup::PopupEvent,cd282841-3c8d-44ef-bb8f-54c1d2726170,,05:18.0,05:18.0
91743155,e020609d-feac-41cb-800b-09dfacb7d0f4,919412,Popup::PopupEvent,c138ac89-5f35-433b-8b03-f598140efdf1,,03:45.8,03:45.8
91743253,4fd10522-3e8a-4787-a209-eab8e5ad99de,919412,Popup::PopupEvent,8d9bfb3e-1680-4ac7-98ce-2f0e542503fe,,06:04.1,06:04.1
91743516,50a4c3eb-9f4e-4848-8652-57647388f7d2,908455,Popup::PopupEvent,ae6bc32a-1eb6-4be2-962e-18827a2e5919,,11:30.8,11:30.8
91743517,50a4c3eb-9f4e-4848-8652-57647388f7d2,908455,Popup::PopupEvent,b8645b58-c31f-4db9-8b75-4a9fda1d6f24,,11:30.9,11:30.9
91744009,e041804d-d69d-4730-8f88-5ed530579b7e,909174,Popup::PopupEvent,f57327dd-357e-4565-a881-2fc5a4a4ead3,,21:14.2,21:14.2
91744301,65de4b9e-4c0b-408e-92c9-d49151d46165,908697,Popup::PopupEvent,ba4599c4-0bed-4a11-b89e-df0625d4bf62,,27:41.3,27:41.3
91745092,032a189f-ba28-4971-b8f2-894625472ec0,907830,Popup::PopupEvent,d0f962a6-e501-4697-a903-c7e621d03c0a,,38:18.0,38:18.0
91745225,251e0bf0-b00a-4bd6-8e5d-4ee362fa56bb,909300,Popup::PopupEvent,7fc8b683-4831-489f-ab8a-2ae1a065ee50,,39:30.8,39:30.8
91746201,2b94cb6a-f525-4e25-8be6-59e0959edcaa,907830,Popup::PopupEvent,5e2dc0d4-0f75-4701-8b5c-dcdb13312ab7,,47:45.4,47:45.4
91746504,2dbcd06d-695d-4dbc-8da5-adad166e064d,917150,Popup::PopupEvent,74a296ca-9506-4214-9081-ad62fd22f7e2,,49:44.8,49:44.8
91747374,f6400039-66ca-4560-b426-d941c6c2c92d,908366,Popup::PopupEvent,55410da9-2821-4416-9487-738790e55c6f,,55:12.9,55:12.9
91748401,478dec41-35f9-473f-a2c6-7f7587884097,908366,Popup::PopupEvent,0f435c16-8487-412c-aade-5bc0f19c710f,,01:09.6,01:09.6
91748725,56643c70-522a-48c2-beb4-11df865c2c12,918227,Popup::PopupEvent,954f8cd4-13dd-477e-8468-c42163e65772,,02:39.9,02:39.9
